pulse,snr,sir,alpha,L,joint,ber05,ber10,ber20,ber25
RC,15.0,10.0,0.22,2,False,3.96e-08,5.78e-08,2.43e-07,6.63e-07
BTRC,15.0,10.0,0.22,2,False,3.97e-08,5.86e-08,2.56e-07,7.14e-07
ELP,15.0,10.0,0.22,2,False,4.02e-08,6.11e-08,2.97e-07,8.86e-07
IPLCP,15.0,10.0,0.22,2,False,3.75e-08,4.69e-08,1.10e-07,2.03e-07
RC,15.0,10.0,0.22,6,False,3.43e-07,4.77e-07,1.66e-06,3.97e-06
BTRC,15.0,10.0,0.22,6,False,3.44e-07,4.83e-07,1.74e-06,4.23e-06
ELP,15.0,10.0,0.22,6,False,3.48e-07,5.01e-07,1.98e-06,5.10e-06
IPLCP,15.0,10.0,0.22,6,False,3.28e-07,3.98e-07,8.36e-07,1.42e-06
RC,15.0,10.0,0.35,2,False,3.98e-08,5.90e-08,2.62e-07,7.37e-07
BTRC,15.0,10.0,0.35,2,False,4.02e-08,6.11e-08,2.98e-07,8.88e-07
ELP,15.0,10.0,0.35,2,False,4.05e-08,6.33e-08,3.38e-07,1.06e-06
IPLCP,15.0,10.0,0.35,2,False,3.75e-08,4.69e-08,1.10e-07,2.03e-07
RC,15.0,10.0,0.35,6,False,3.45e-07,4.85e-07,1.77e-06,4.35e-06
BTRC,15.0,10.0,0.35,6,False,3.48e-07,5.01e-07,1.98e-06,5.11e-06
ELP,15.0,10.0,0.35,6,False,3.50e-07,5.16e-07,2.21e-06,5.97e-06
IPLCP,15.0,10.0,0.35,6,False,3.28e-07,3.98e-07,8.36e-07,1.42e-06
RC,15.0,10.0,0.50,2,False,4.02e-08,6.11e-08,2.97e-07,8.83e-07
BTRC,15.0,10.0,0.50,2,False,4.09e-08,6.57e-08,3.85e-07,1.28e-06
ELP,15.0,10.0,0.50,2,False,4.12e-08,6.73e-08,4.19e-07,1.45e-06
IPLCP,15.0,10.0,0.50,2,False,3.75e-08,4.69e-08,1.10e-07,2.03e-07
RC,15.0,10.0,0.50,6,False,3.48e-07,5.00e-07,1.97e-06,5.09e-06
BTRC,15.0,10.0,0.50,6,False,3.53e-07,5.33e-07,2.47e-06,7.03e-06
ELP,15.0,10.0,0.50,6,False,3.55e-07,5.45e-07,2.67e-06,7.80e-06
IPLCP,15.0,10.0,0.50,6,False,3.28e-07,3.98e-07,8.36e-07,1.42e-06
RC,15.0,20.0,0.22,2,False,1.26e-08,1.88e-08,8.69e-08,2.53e-07
BTRC,15.0,20.0,0.22,2,False,1.26e-08,1.91e-08,9.17e-08,2.74e-07
ELP,15.0,20.0,0.22,2,False,1.28e-08,1.99e-08,1.08e-07,3.45e-07
IPLCP,15.0,20.0,0.22,2,False,1.19e-08,1.50e-08,3.74e-08,7.16e-08
RC,15.0,20.0,0.22,6,False,1.71e-08,2.53e-08,1.14e-07,3.26e-07
BTRC,15.0,20.0,0.22,6,False,1.71e-08,2.57e-08,1.20e-07,3.52e-07
ELP,15.0,20.0,0.22,6,False,1.73e-08,2.69e-08,1.41e-07,4.41e-07
IPLCP,15.0,20.0,0.22,6,False,1.61e-08,2.04e-08,4.98e-08,9.41e-08
RC,15.0,20.0,0.35,2,False,1.26e-08,1.92e-08,9.39e-08,2.84e-07
BTRC,15.0,20.0,0.35,2,False,1.28e-08,1.99e-08,1.08e-07,3.46e-07
ELP,15.0,20.0,0.35,2,False,1.29e-08,2.07e-08,1.23e-07,4.19e-07
IPLCP,15.0,20.0,0.35,2,False,1.19e-08,1.50e-08,3.74e-08,7.16e-08
RC,15.0,20.0,0.35,6,False,1.72e-08,2.59e-08,1.23e-07,3.64e-07
BTRC,15.0,20.0,0.35,6,False,1.73e-08,2.69e-08,1.41e-07,4.42e-07
ELP,15.0,20.0,0.35,6,False,1.75e-08,2.79e-08,1.61e-07,5.34e-07
IPLCP,15.0,20.0,0.35,6,False,1.61e-08,2.04e-08,4.98e-08,9.41e-08
RC,15.0,20.0,0.50,2,False,1.28e-08,1.99e-08,1.07e-07,3.44e-07
BTRC,15.0,20.0,0.50,2,False,1.30e-08,2.15e-08,1.42e-07,5.12e-07
ELP,15.0,20.0,0.50,2,False,1.31e-08,2.21e-08,1.55e-07,5.82e-07
IPLCP,15.0,20.0,0.50,2,False,1.19e-08,1.50e-08,3.74e-08,7.16e-08
RC,15.0,20.0,0.50,6,False,1.73e-08,2.68e-08,1.40e-07,4.39e-07
BTRC,15.0,20.0,0.50,6,False,1.77e-08,2.90e-08,1.84e-07,6.50e-07
ELP,15.0,20.0,0.50,6,False,1.78e-08,2.97e-08,2.01e-07,7.37e-07
IPLCP,15.0,20.0,0.50,6,False,1.61e-08,2.04e-08,4.98e-08,9.41e-08
