pulse,snr,sir,alpha,L,joint,ber05,ber10,ber20,ber25
\bfseries RC,15.0,20.0,0.22,6,False,1.71e-08,2.53e-08,1.14e-07,3.26e-07
\bfseries BTRC,15.0,20.0,0.22,6,False,1.71e-08,2.57e-08,1.20e-07,3.52e-07
\bfseries ELP,15.0,20.0,0.22,6,False,1.73e-08,2.69e-08,1.41e-07,4.41e-07
\bfseries IPLCP,15.0,20.0,0.22,6,False,1.61e-08,2.04e-08,4.98e-08,9.41e-08
\bfseries RC,15.0,20.0,0.35,6,False,1.72e-08,2.59e-08,1.23e-07,3.64e-07
\bfseries BTRC,15.0,20.0,0.35,6,False,1.73e-08,2.69e-08,1.41e-07,4.42e-07
\bfseries ELP,15.0,20.0,0.35,6,False,1.75e-08,2.79e-08,1.61e-07,5.34e-07
\bfseries IPLCP,15.0,20.0,0.35,6,False,1.61e-08,2.04e-08,4.98e-08,9.41e-08
\bfseries RC,15.0,20.0,0.50,6,False,1.73e-08,2.68e-08,1.40e-07,4.39e-07
\bfseries BTRC,15.0,20.0,0.50,6,False,1.77e-08,2.90e-08,1.84e-07,6.50e-07
\bfseries ELP,15.0,20.0,0.50,6,False,1.78e-08,2.97e-08,2.01e-07,7.37e-07
\bfseries IPLCP,15.0,20.0,0.50,6,False,1.61e-08,2.04e-08,4.98e-08,9.41e-08
