pulse,snr,sir,alpha,L,joint,ber05,ber10,ber20,ber25
\bfseries RC,15.0,15.0,0.22,6,True,2.66e-07,7.25e-06,1.61e-03,9.28e-03
\bfseries BTRC,15.0,15.0,0.22,6,True,2.02e-07,3.87e-06,7.32e-04,4.92e-03
\bfseries ELP,15.0,15.0,0.22,6,True,1.32e-07,1.48e-06,1.87e-04,1.45e-03
\bfseries IPLCP,15.0,15.0,0.22,6,True,4.97e-08,1.19e-07,1.83e-06,9.28e-06
\bfseries RC,15.0,15.0,0.35,6,True,1.85e-07,3.18e-06,5.58e-04,3.91e-03
\bfseries BTRC,15.0,15.0,0.35,6,True,1.28e-07,1.37e-06,1.65e-04,1.28e-03
\bfseries ELP,15.0,15.0,0.35,6,True,1.03e-07,8.33e-07,7.79e-05,6.26e-04
\bfseries IPLCP,15.0,15.0,0.35,6,True,4.65e-08,9.67e-08,1.20e-06,5.88e-06
\bfseries RC,15.0,15.0,0.50,6,True,1.29e-07,1.39e-06,1.67e-04,1.30e-03
\bfseries BTRC,15.0,15.0,0.50,6,True,8.31e-08,5.22e-07,3.95e-05,3.19e-04
\bfseries ELP,15.0,15.0,0.50,6,True,7.62e-08,4.15e-07,2.68e-05,2.19e-04
\bfseries IPLCP,15.0,15.0,0.50,6,True,4.28e-08,7.29e-08,6.49e-07,2.96e-06
