pulse,snr,alpha,trunc,joint,ber05,ber10,ber20,ber25
RC,10.0,0.22,5,False,0.0010916017307880388,0.0024045605692399885,0.01460228048857437,0.031162225260260745
BTRC,10.0,0.22,5,False,0.0010427948956445166,0.002106256808354079,0.011702093156198967,0.025331110418449432
ELP,10.0,0.22,5,False,0.0009759165400748393,0.0017306058182464668,0.008264373450032003,0.018056149495256968
IPLCP,10.0,0.22,5,False,0.00082944816548014,0.0009941436825193217,0.0021372044513061073,0.003736649021235383
RC,10.0,0.22,10,False,0.0010919909770684133,0.0024069461599140474,0.014623606288662938,0.031201256857178228
BTRC,10.0,0.22,10,False,0.0010444339977175865,0.002116560801118772,0.011808013256527028,0.025549006040527178
ELP,10.0,0.22,10,False,0.0009759165589009466,0.001730605926206441,0.00826437448501488,0.01805615174032943
IPLCP,10.0,0.22,10,False,0.00082944816548014,0.0009941436825193217,0.0021372044513061073,0.003736649021235383
RC,10.0,0.35,5,False,0.0010303256029452479,0.0020338578385247774,0.01102244406951286,0.023922111554732506
BTRC,10.0,0.35,5,False,0.000970155787717919,0.0016992723468478577,0.007974757740490557,0.01740612539972808
ELP,10.0,0.35,5,False,0.0009389965423449165,0.0015364776722928686,0.0066074373179599855,0.014444721513059311
IPLCP,10.0,0.35,5,False,0.0008220617108216088,0.0009604736332180508,0.0019200705743367408,0.0032697973845977057
RC,10.0,0.35,10,False,0.0010303742763722035,0.0020341622241887847,0.011025614628880798,0.02392877803624288
BTRC,10.0,0.35,10,False,0.0009705169709914307,0.0017012321017355059,0.007992378286226842,0.0174439876053491
ELP,10.0,0.35,10,False,0.0009389965649942433,0.0015364777622118853,0.006607437747505329,0.014444722191702564
IPLCP,10.0,0.35,10,False,0.0008220617108216088,0.0009604736332180508,0.0019200705743367408,0.0032697973845977057
RC,10.0,0.5,5,False,0.0009725844222595037,0.0017118521677847442,0.008081064999240106,0.017641383093355723
BTRC,10.0,0.5,5,False,0.0009092109336581999,0.0013873603999994821,0.005429467120316889,0.011875291469671145
ELP,10.0,0.5,5,False,0.0008993593523317078,0.0013379452819506366,0.005039322834915094,0.011024974007880717
IPLCP,10.0,0.5,5,False,0.0008131925291828823,0.0009196045415952314,0.001648173011524534,0.002674230810873146
RC,10.0,0.5,10,False,0.0009725910961246309,0.001711891076294103,0.008081467565029032,0.01764230224622404
BTRC,10.0,0.5,10,False,0.0009094437213057471,0.0013885493061611687,0.005439845846464453,0.011899285236654233
ELP,10.0,0.5,10,False,0.0008993593762659513,0.0013379453820354659,0.005039323408434215,0.01102497508380118
IPLCP,10.0,0.5,10,False,0.0008131925291828823,0.0009196045415952314,0.001648173011524534,0.002674230810873146
