pulse,snr,alpha,joint,ber05,ber10,ber20,ber25
RC,10.0,0.22,False,0.0010919971401662787,0.0024069853457567847,0.014623980494111899,0.03120196129488001
BTRC,10.0,0.22,False,0.0010446230525781308,0.002117748732238134,0.011820191205135389,0.025573995588414
ELP,10.0,0.22,False,0.0009759165589009466,0.001730605926206441,0.00826437448501488,0.01805615174032943
IPLCP,10.0,0.22,False,0.00082944816548014,0.0009941436825193217,0.0021372044513061073,0.003736649021235383
RC,10.0,0.35,False,0.0010303752952297018,0.0020341685031363133,0.011025678641748693,0.023928911620773985
BTRC,10.0,0.35,False,0.000970584255195972,0.00170161507780614,0.00799612590325871,0.017452329905571273
ELP,10.0,0.35,False,0.0009389965649942433,0.0015364777622118853,0.006607437747505329,0.014444722191702564
IPLCP,10.0,0.35,False,0.0008220617108216088,0.0009604736332180508,0.0019200705743367408,0.0032697973845977057
RC,10.0,0.5,False,0.0009725913647317119,0.0017118925981757238,0.008081482254828909,0.017642334638292234
BTRC,10.0,0.5,False,0.0009094740417679992,0.001388709770892893,0.005441348929372869,0.011902873376006873
ELP,10.0,0.5,False,0.0008993593762659513,0.0013379453820354659,0.005039323408434215,0.01102497508380118
IPLCP,10.0,0.5,False,0.0008131925291828823,0.0009196045415952314,0.001648173011524534,0.002674230810873146
RC,15.0,0.22,False,9.095486641630401e-08,3.5327888931457885e-06,0.0012715846197597358,0.008293728474880413
BTRC,15.0,0.22,False,6.620869857920653e-08,1.7390571905862018e-06,0.000529075820314584,0.004126877125076034
ELP,15.0,0.22,False,4.079688398217485e-08,5.90141354617213e-07,0.00011595630062033457,0.0010683670891838415
IPLCP,15.0,0.22,False,1.3438483048577865e-08,3.59301843277926e-08,7.113474447262291e-07,4.145508652797503e-06
RC,15.0,0.35,False,5.999674657086729e-08,1.389576556376504e-06,0.0003908446841011659,0.003198831959150328
BTRC,15.0,0.35,False,3.925259184356378e-08,5.402111600827375e-07,0.00010128725511304726,0.000935356433024781
ELP,15.0,0.35,False,3.069331361293948e-08,3.1086075452657624e-07,4.374567701831422e-05,0.00042025182372962266
IPLCP,15.0,0.35,False,1.24334382234359e-08,2.8350016556544233e-08,4.488579984363028e-07,2.507204774293559e-06
RC,15.0,0.5,False,3.972302198285149e-08,5.489045856177377e-07,0.0001021685273431272,0.0009469351645720048
BTRC,15.0,0.5,False,2.4134190645952458e-08,1.8579538907381732e-07,2.0877835381849508e-05,0.00020154390892085372
ELP,15.0,0.5,False,2.1822598339493737e-08,1.4299880191082082e-07,1.3396249517350078e-05,0.0001312190593214524
IPLCP,15.0,0.5,False,1.1282935474810074e-08,2.0524701438429105e-08,2.2675676775163467e-07,1.1764867499652887e-06
